model_id,target,horizon,tier,semantic_name,semantic_description,model_family,feature_set,calibration,feature_contract,label_version,spec_version,calibration_version,strategy_relevance,test_bss,test_brier,test_auc,test_pr_auc,test_ece,validation_bss,walkforward_positive_folds,walkforward_folds,nonoverlap_bss,nonoverlap_positive,positive_regime_rows,quality_grade,artifact_path,artifact_sha256,probability_output,preprocessing,train_period,validation_period,test_period,unsupported_behavior
probability_v2_candidate_v1__both_side_breach__4h,both_side_breach,4H,CORE,P_BOTH_SIDE_BREACH_4H,Probability both upper and lower frozen 70% range boundaries are breached within the future 4H path.,logistic,step11_individuals,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,IRON_FLY,0.0380628844268559,0.2118820382557954,0.6167493900358575,0.3992863909932094,0.0265358869877316,0.0551823201578932,3,3,,False,2,MEDIUM,reports/step15_frozen_v2_models/probability_v2_candidate_v1__both_side_breach__4h.pkl,95f5111cfee7dc164536f18a58608893346d0f6d69c58c4ef968f3c2badc5760,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
probability_v2_candidate_v1__both_side_breach__8h,both_side_breach,8H,CORE,P_BOTH_SIDE_BREACH_8H,Probability both upper and lower frozen 70% range boundaries are breached within the future 8H path.,logistic,step11_individuals,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,IRON_FLY,0.0476450908980193,0.2159073282973347,0.6303362391033623,0.4113864997164705,0.0339963148868125,0.0350938794519378,3,3,,False,2,MEDIUM,reports/step15_frozen_v2_models/probability_v2_candidate_v1__both_side_breach__8h.pkl,7bc24c8f239bc92b0cd3c187db1e1e10a5d837e5512fa6679580c679cc09bba5,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
probability_v2_candidate_v1__both_side_breach__12h,both_side_breach,12H,CORE,P_BOTH_SIDE_BREACH_12H,Probability both upper and lower frozen 70% range boundaries are breached within the future 12H path.,tree_depth2,step11_individuals,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,IRON_FLY,0.0628332086500157,0.2199482141560867,0.5887232312279751,0.493715836560479,0.0384406195675793,0.066837587551597,3,3,,False,2,MEDIUM,reports/step15_frozen_v2_models/probability_v2_candidate_v1__both_side_breach__12h.pkl,c21bc3623568fd195a787ef389c58a97e1ea2f00b469ced90c409faf0a6a689d,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
probability_v2_candidate_v1__both_side_breach__24h,both_side_breach,24H,CORE,P_BOTH_SIDE_BREACH_24H,Probability both upper and lower frozen 70% range boundaries are breached within the future 24H path.,logistic,compact_deredundant,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,IRON_FLY,0.1574717459634944,0.211784406349941,0.7366424425247955,0.619950152845665,0.0931787129665031,0.0816438040307482,3,3,,False,2,HIGH,reports/step15_frozen_v2_models/probability_v2_candidate_v1__both_side_breach__24h.pkl,812ed45549dfb95d6054687a842cd286f728fb3d4de597f0663afe7b3465e609,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
probability_v2_candidate_v1__upside_breakout__12h,upside_breakout,12H,SECONDARY,P_UPSIDE_BREAKOUT_12H,Probability the existing Label V2 upside breakout event occurs over the future 12H.,tree_depth2,step11_individuals,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,GENERIC_PROBABILITY,0.0792267096568017,0.2000999438045957,0.6334014889378211,0.7622137102855496,0.0332330554831895,0.0867896928157552,3,3,,False,2,MEDIUM,reports/step15_frozen_v2_models/probability_v2_candidate_v1__upside_breakout__12h.pkl,8fae22aed5187eaba67dbab828a686b3788bbda522dbc7d22511bf36bbcab86e,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
probability_v2_candidate_v1__upside_breakout__24h,upside_breakout,24H,SECONDARY,P_UPSIDE_BREAKOUT_24H,Probability the existing Label V2 upside breakout event occurs over the future 24H.,logistic,step11_individuals,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,GENERIC_PROBABILITY,0.0893035025535492,0.1831479585830922,0.6951754385964912,0.8393879840290207,0.0444529176362335,0.0984714461593344,2,3,,False,2,HIGH,reports/step15_frozen_v2_models/probability_v2_candidate_v1__upside_breakout__24h.pkl,7a476c8f898533f1c45d72e77f09e0fe27470ab9097151b061f76b8da1dc1107,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
probability_v2_candidate_v1__downside_breakdown__1h,downside_breakdown,1H,SECONDARY,P_DOWNSIDE_BREAKDOWN_1H,Probability the existing Label V2 downside breakdown event occurs over the future 1H.,logistic,step11_individuals,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,GENERIC_PROBABILITY,0.0204604665026291,0.2168290165768376,0.5782762329082809,0.7409299737238729,0.0222803259593774,0.0377712686217164,3,3,0.0463884682812285,True,2,MEDIUM,reports/step15_frozen_v2_models/probability_v2_candidate_v1__downside_breakdown__1h.pkl,1e117d3214c26aa1b073dc3138aa7dd56a945f7bfbb5490e0af444d8d00c18b3,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
probability_v2_candidate_v1__downside_breakdown__24h,downside_breakdown,24H,SECONDARY,P_DOWNSIDE_BREAKDOWN_24H,Probability the existing Label V2 downside breakdown event occurs over the future 24H.,tree_depth2,compact_deredundant,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,GENERIC_PROBABILITY,0.0519068602785917,0.2203985722725346,0.5702553409423471,0.7062138335210659,0.0313074325665323,0.0356499636607876,1,3,,False,2,LOW,reports/step15_frozen_v2_models/probability_v2_candidate_v1__downside_breakdown__24h.pkl,cfd48d35f40f80f3e10b7ec0325473d3a8c1b2da3f50f05807e909942c556af5,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
probability_v2_candidate_v1__upper_breach_only__1h,upper_breach_only,1H,STRATEGY_SPECIFIC,P_UPPER_BREACH_ONLY_1H,Probability only the upper frozen 70% range boundary is breached within the future 1H path.,logistic,step11_individuals,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,IRON_FLY,0.0117593514617134,0.2024421722573064,0.5540351605758582,0.31516392567017,0.0126789222035199,0.0234848640994903,2,3,0.0543611583318269,True,2,LOW,reports/step15_frozen_v2_models/probability_v2_candidate_v1__upper_breach_only__1h.pkl,5e9fb988055149406805163c45094627705eecfac6c507f4c9862b8478b5eea5,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
probability_v2_candidate_v1__upper_breach_only__4h,upper_breach_only,4H,STRATEGY_SPECIFIC,P_UPPER_BREACH_ONLY_4H,Probability only the upper frozen 70% range boundary is breached within the future 4H path.,logistic,step11_individuals,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,IRON_FLY,0.0179424340098715,0.2190465225106686,0.5906344984802432,0.4202310738609664,0.0078380353735562,0.0039525299305107,2,3,,False,2,LOW,reports/step15_frozen_v2_models/probability_v2_candidate_v1__upper_breach_only__4h.pkl,1dbfa201efe7681fc8c2cefa40d91eb4ce361e83a14e8409ebc3feb931693e65,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
probability_v2_candidate_v1__lower_breach_only__12h,lower_breach_only,12H,STRATEGY_SPECIFIC,P_LOWER_BREACH_ONLY_12H,Probability only the lower frozen 70% range boundary is breached within the future 12H path.,tree_depth2,step11_individuals,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,IRON_FLY,0.0343058850711969,0.1824079749292257,0.55438986101007,0.2969632035890507,0.0086801480044095,0.0340644087552233,2,3,,False,1,LOW,reports/step15_frozen_v2_models/probability_v2_candidate_v1__lower_breach_only__12h.pkl,aa649370a1a0e50597a2fa1d830fc24b67e7b27306a5fcf3c2d466ce572618a5,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
probability_v2_candidate_v1__lower_breach_only__24h,lower_breach_only,24H,STRATEGY_SPECIFIC,P_LOWER_BREACH_ONLY_24H,Probability only the lower frozen 70% range boundary is breached within the future 24H path.,tree_depth2,step11_individuals,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,IRON_FLY,0.0253183664049372,0.1603155780162346,0.5548112170087977,0.206576738355588,0.0691208680681737,0.0329153267758475,2,3,,False,2,LOW,reports/step15_frozen_v2_models/probability_v2_candidate_v1__lower_breach_only__24h.pkl,392913eea6f6b40218bef76b1b8c3b7009aedc007397336af38bdb0f04cc9db0,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
probability_v2_candidate_v1__up_excursion_ge_1_0_atr__1h,up_excursion_ge_1_0_atr,1H,DEFENSIVE,P_UP_EXCURSION_GE_1_ATR_1H,Probability maximum upside excursion over the future 1H reaches at least 1 ATR.,logistic,all_step13,platt,probability_v2_features_v1,label_v2,probability_v2_candidate_v1,calibration_v2_candidate_v1,DEFENSIVE_LONG_OPTION,0.0150048683396302,0.2269279843115468,0.5700080212102843,0.6926035637251221,0.004581528224563,0.0316485292354165,2,3,0.0431437518892768,True,2,LOW,reports/step15_frozen_v2_models/probability_v2_candidate_v1__up_excursion_ge_1_0_atr__1h.pkl,fd25bafe256d8cf7ce8919fad8d5ef977c8add72dd3f1d08842deaf52e50937c,"float in [0, 1]",train-only median imputation; logistic models use train-only scaling; tree models use unscaled imputed features,"{'start': '2026-05-24T03:00:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-07-15T16:00:00Z'}","{'start': '2026-07-15T16:30:00Z', 'end_after_embargo': 'varies by horizon, latest 2026-08-02T04:30:00Z'}","{'start': '2026-08-02T05:00:00Z', 'end': '2026-08-19T17:30:00Z'}","abstain when target/horizon unsupported, required feature missing after warmup, unsupported regime, stale/as-of violation, or OOD quality gate fails"
